customer_id,state,zone,plan_type,signup_date
CUST0042,Sokoto,North-West,Prepaid,2024-12-04
CUST0043,Jigawa,North-West,Prepaid,2024-08-23
CUST0044,Ekiti,South-West,Prepaid,2025-03-26
CUST0045,Lagos,South-West,Prepaid,2024-09-12
CUST0046,Niger,North-Central,Prepaid,2025-03-08
CUST0047,Osun,South-West,Prepaid,2024-11-30
CUST0048,Lagos,South-West,Prepaid,2024-08-06
CUST0049,Bayelsa,South-South,Prepaid,2025-03-06
CUST0050,Kwara,North-Central,Prepaid,2026-03-19
CUST0051,Plateau,North-Central,Prepaid,2025-12-26
CUST0052,Kaduna,North-West,Prepaid,2024-11-24
CUST0053,Oyo,South-West,Prepaid,2024-10-18
CUST0054,Imo,South-East,Prepaid,2024-11-20
CUST0055,Yobe,North-East,Prepaid,2025-10-25
CUST0056,Zamfara,North-West,Prepaid,2025-08-26
CUST0057,Ogun,South-West,Prepaid,2024-08-23
CUST0058,Delta,South-South,Postpaid,2026-04-09
CUST0059,Osun,South-West,Prepaid,2023-12-04
CUST0060,Lagos,South-West,Prepaid,2024-01-11
CUST0061,Oyo,South-West,Postpaid,2024-04-23
CUST0062,Jigawa,North-West,Prepaid,2025-10-12
CUST0063,Taraba,North-East,Prepaid,2023-10-09
CUST0064,Osun,South-West,Postpaid,2025-07-21
CUST0065,Benue,North-Central,Prepaid,2026-01-14
CUST0066,Imo,South-East,Prepaid,2024-10-27
CUST0067,Benue,North-Central,Prepaid,2023-06-24
CUST0068,Ekiti,South-West,Prepaid,2024-01-21
CUST0069,Edo,South-South,Prepaid,2024-11-28
CUST0070,Ebonyi,South-East,Postpaid,2024-01-15
CUST0071,Ogun,South-West,Prepaid,2025-11-07
CUST0072,Delta,South-South,Prepaid,2025-12-16
CUST0073,Kano,North-West,Prepaid,2024-11-21
CUST0074,Bayelsa,South-South,Prepaid,2024-05-31
CUST0075,Benue,North-Central,Prepaid,2024-01-04
CUST0076,Ekiti,South-West,Prepaid,2025-02-01
CUST0077,FCT Abuja,North-Central,Prepaid,2026-04-05
CUST0078,Ondo,South-West,Prepaid,2024-07-12
CUST0079,Oyo,South-West,Prepaid,2025-07-05
CUST0080,Adamawa,North-East,Prepaid,2026-05-22
CUST0081,Abia,South-East,Prepaid,2025-03-25
CUST0082,Cross River,South-South,Prepaid,2023-07-10
CUST0083,Niger,North-Central,Prepaid,2025-06-13
CUST0084,Katsina,North-West,Prepaid,2024-10-03
CUST0085,Niger,North-Central,Prepaid,2024-10-06
CUST0086,Ondo,South-West,Prepaid,2023-11-09
CUST0087,Rivers,South-South,Prepaid,2026-02-20
CUST0088,Rivers,South-South,Prepaid,2026-05-26
CUST0089,Oyo,South-West,Prepaid,2024-02-18
CUST0090,Ekiti,South-West,Prepaid,2026-01-29
CUST0091,Zamfara,North-West,Prepaid,2024-05-04
CUST0092,Ogun,South-West,Postpaid,2026-05-16
CUST0093,Zamfara,North-West,Prepaid,2025-10-14
CUST0094,Oyo,South-West,Prepaid,2024-07-16
CUST0095,Edo,South-South,Prepaid,2025-02-28
CUST0096,Plateau,North-Central,Postpaid,2025-07-04
CUST0097,Osun,South-West,Prepaid,2026-04-25
CUST0098,Sokoto,North-West,Prepaid,2024-02-03
CUST0099,Oyo,South-West,Postpaid,2024-09-03
CUST0100,Lagos,South-West,Prepaid,2025-04-23
CUST0101,Rivers,South-South,Prepaid,2024-09-14
CUST0102,Taraba,North-East,Postpaid,2024-08-25
CUST0103,Rivers,South-South,Prepaid,2023-10-24
CUST0104,FCT Abuja,North-Central,Prepaid,2023-09-29
CUST0105,Kwara,North-Central,Prepaid,2023-10-17
CUST0106,Rivers,South-South,Prepaid,2025-04-07
CUST0107,Rivers,South-South,Prepaid,2026-04-18
CUST0108,Oyo,South-West,Prepaid,2024-12-22
CUST0109,Jigawa,North-West,Prepaid,2026-02-19
CUST0110,Delta,South-South,Prepaid,2024-02-26
CUST0111,Edo,South-South,Prepaid,2026-01-24
CUST0112,Kwara,North-Central,Prepaid,2026-01-24
CUST0113,Sokoto,North-West,Prepaid,2024-06-24
CUST0114,Lagos,South-West,Prepaid,2023-12-16
CUST0115,Ekiti,South-West,Prepaid,2025-10-30
CUST0116,Ogun,South-West,Prepaid,2025-10-15
CUST0117,Cross River,South-South,Prepaid,2026-01-12
CUST0118,Yobe,North-East,Prepaid,2023-09-19
CUST0119,Jigawa,North-West,Prepaid,2023-12-19
CUST0120,Rivers,South-South,Prepaid,2025-09-02
CUST0121,Ekiti,South-West,Postpaid,2025-04-25
CUST0122,Lagos,South-West,Prepaid,2024-10-22
CUST0123,Kwara,North-Central,Postpaid,2024-06-24
CUST0124,Imo,South-East,Postpaid,2025-12-05
CUST0125,Oyo,South-West,Prepaid,2025-10-12
CUST0126,Kaduna,North-West,Prepaid,2024-12-22
CUST0127,Osun,South-West,Prepaid,2024-10-24
CUST0128,Borno,North-East,Prepaid,2025-11-24
CUST0129,Ondo,South-West,Prepaid,2023-12-18
CUST0130,Rivers,South-South,Prepaid,2023-07-01
CUST0131,Rivers,South-South,Postpaid,2024-09-27
CUST0132,Kwara,North-Central,Prepaid,2025-09-10
CUST0133,Osun,South-West,Prepaid,2026-02-10
CUST0134,Oyo,South-West,Prepaid,2025-08-30
CUST0135,Kano,North-West,Prepaid,2024-05-03
CUST0136,Osun,South-West,Prepaid,2023-06-05
CUST0137,Osun,South-West,Postpaid,2024-11-25
CUST0138,Cross River,South-South,Prepaid,2025-01-05
CUST0139,Osun,South-West,Prepaid,2026-02-21
CUST0140,Oyo,South-West,Prepaid,2024-06-23
CUST0141,Ogun,South-West,Prepaid,2024-08-19
CUST0142,Abia,South-East,Prepaid,2023-10-03
CUST0143,Edo,South-South,Prepaid,2025-03-04
CUST0144,Abia,South-East,Prepaid,2023-09-11
CUST0145,Zamfara,North-West,Prepaid,2026-02-01
CUST0146,Benue,North-Central,Prepaid,2026-05-23
CUST0147,Oyo,South-West,Prepaid,2023-09-25
CUST0148,Benue,North-Central,Prepaid,2023-11-12
CUST0149,Oyo,South-West,Prepaid,2023-10-19
CUST0150,Bayelsa,South-South,Prepaid,2023-10-18
CUST0151,FCT Abuja,North-Central,Prepaid,2024-09-24
CUST0152,Cross River,South-South,Prepaid,2024-02-01
CUST0153,Ondo,South-West,Postpaid,2024-10-17
CUST0154,Bayelsa,South-South,Prepaid,2023-08-21
CUST0155,Ondo,South-West,Prepaid,2023-11-15
CUST0156,Enugu,South-East,Prepaid,2026-05-06
CUST0157,Kogi,North-Central,Postpaid,2024-11-16
CUST0158,Oyo,South-West,Prepaid,2025-03-05
CUST0159,Anambra,South-East,Prepaid,2024-11-25
CUST0160,Plateau,North-Central,Prepaid,2024-02-24
CUST0161,Edo,South-South,Prepaid,2025-02-04
CUST0162,Osun,South-West,Prepaid,2025-03-09
CUST0163,Lagos,South-West,Prepaid,2023-06-20
CUST0164,Cross River,South-South,Prepaid,2023-12-22
CUST0165,Abia,South-East,Prepaid,2024-08-10
CUST0166,Zamfara,North-West,Prepaid,2024-11-25
CUST0167,Kwara,North-Central,Prepaid,2025-05-15
CUST0168,Niger,North-Central,Prepaid,2024-10-13
CUST0169,Ogun,South-West,Prepaid,2025-01-04
CUST0170,Anambra,South-East,Prepaid,2025-11-14
CUST0171,Bayelsa,South-South,Prepaid,2025-02-09
CUST0172,Taraba,North-East,Prepaid,2026-05-19
CUST0173,Abia,South-East,Prepaid,2025-02-03
CUST0174,Edo,South-South,Prepaid,2023-12-30
CUST0175,Anambra,South-East,Prepaid,2024-11-23
CUST0176,Rivers,South-South,Prepaid,2024-01-06
CUST0177,Edo,South-South,Prepaid,2024-04-14
CUST0178,Kogi,North-Central,Prepaid,2024-12-29
CUST0179,Benue,North-Central,Prepaid,2024-08-05
CUST0180,Ekiti,South-West,Prepaid,2025-05-03
CUST0181,Anambra,South-East,Prepaid,2024-11-22
CUST0182,Imo,South-East,Prepaid,2026-02-25
CUST0183,Ogun,South-West,Prepaid,2023-09-13
CUST0184,Lagos,South-West,Postpaid,2025-10-15
CUST0185,Bauchi,North-East,Prepaid,2023-08-30
CUST0186,Niger,North-Central,Prepaid,2025-04-14
CUST0187,Kwara,North-Central,Prepaid,2024-11-18
CUST0188,Kwara,North-Central,Prepaid,2025-11-21
CUST0189,Ondo,South-West,Prepaid,2025-10-23
CUST0190,Ondo,South-West,Prepaid,2023-06-20
CUST0191,Niger,North-Central,Prepaid,2023-11-02
CUST0192,Edo,South-South,Postpaid,2024-04-01
CUST0193,Ondo,South-West,Prepaid,2023-08-13
CUST0194,Katsina,North-West,Prepaid,2024-03-30
CUST0195,Osun,South-West,Prepaid,2024-02-17
CUST0196,Lagos,South-West,Prepaid,2025-02-21
CUST0197,Ebonyi,South-East,Prepaid,2023-08-21
CUST0198,Katsina,North-West,Postpaid,2024-08-04
CUST0199,Ekiti,South-West,Prepaid,2024-10-24
CUST0200,Ekiti,South-West,Prepaid,2023-12-28
CUST0201,Kogi,North-Central,Postpaid,2025-09-10
CUST0202,Bayelsa,South-South,Prepaid,2024-04-12
CUST0203,Kaduna,North-West,Postpaid,2024-04-28
CUST0204,Anambra,South-East,Prepaid,2025-09-22
CUST0205,Lagos,South-West,Prepaid,2024-06-02
CUST0206,Jigawa,North-West,Postpaid,2025-04-11
CUST0207,Osun,South-West,Prepaid,2024-10-21
CUST0208,Akwa Ibom,South-South,Prepaid,2024-04-22
CUST0209,Jigawa,North-West,Prepaid,2024-01-08
CUST0210,Osun,South-West,Prepaid,2023-08-19
CUST0211,Osun,South-West,Prepaid,2024-08-29
CUST0212,Kwara,North-Central,Prepaid,2025-12-29
CUST0213,Kogi,North-Central,Prepaid,2025-02-15
CUST0214,Anambra,South-East,Postpaid,2024-08-30
CUST0215,Kano,North-West,Prepaid,2024-06-30
CUST0216,Plateau,North-Central,Prepaid,2025-04-03
CUST0217,Akwa Ibom,South-South,Prepaid,2023-10-21
CUST0218,Kogi,North-Central,Prepaid,2025-05-20
CUST0219,FCT Abuja,North-Central,Prepaid,2026-04-09
CUST0220,Osun,South-West,Prepaid,2025-04-09
CUST0221,Niger,North-Central,Postpaid,2024-01-23
CUST0222,Ebonyi,South-East,Prepaid,2024-05-31
CUST0223,Ondo,South-West,Postpaid,2024-11-25
CUST0224,Lagos,South-West,Prepaid,2024-01-09
CUST0225,Imo,South-East,Prepaid,2025-11-06
CUST0226,Ogun,South-West,Prepaid,2025-03-04
CUST0227,Enugu,South-East,Postpaid,2026-04-13
CUST0228,Niger,North-Central,Prepaid,2025-07-28
CUST0229,Benue,North-Central,Prepaid,2024-06-24
CUST0230,Kogi,North-Central,Prepaid,2023-08-30
CUST0231,FCT Abuja,North-Central,Prepaid,2025-11-10
CUST0232,Lagos,South-West,Prepaid,2026-04-30
CUST0233,Ondo,South-West,Prepaid,2024-07-08
CUST0234,Katsina,North-West,Postpaid,2025-10-31
CUST0235,Borno,North-East,Postpaid,2025-04-07
CUST0236,Benue,North-Central,Postpaid,2025-03-04
CUST0237,FCT Abuja,North-Central,Postpaid,2024-02-11
CUST0238,Edo,South-South,Postpaid,2025-02-05
CUST0239,Benue,North-Central,Prepaid,2025-02-23
CUST0240,Ekiti,South-West,Prepaid,2025-09-14
CUST0241,Akwa Ibom,South-South,Prepaid,2025-09-02
CUST0242,Ebonyi,South-East,Prepaid,2024-02-16
CUST0243,Delta,South-South,Postpaid,2025-10-09
CUST0244,FCT Abuja,North-Central,Prepaid,2025-07-16
CUST0245,Ekiti,South-West,Postpaid,2024-05-22
CUST0246,Imo,South-East,Prepaid,2025-02-06
CUST0247,Sokoto,North-West,Prepaid,2023-06-01
CUST0248,Ebonyi,South-East,Prepaid,2025-01-08
CUST0249,Delta,South-South,Prepaid,2025-10-28
CUST0250,Ondo,South-West,Postpaid,2025-03-21
CUST0251,Osun,South-West,Prepaid,2025-11-21
CUST0252,Sokoto,North-West,Prepaid,2024-08-11
CUST0253,Ondo,South-West,Prepaid,2026-01-25
CUST0254,Ekiti,South-West,Prepaid,2024-05-13
CUST0255,Ekiti,South-West,Prepaid,2023-11-21
CUST0256,Akwa Ibom,South-South,Prepaid,2026-04-21
CUST0257,Ekiti,South-West,Postpaid,2025-04-17
CUST0258,Niger,North-Central,Prepaid,2024-09-24
CUST0259,Ebonyi,South-East,Prepaid,2024-09-03
CUST0260,Oyo,South-West,Prepaid,2024-03-28
CUST0261,Rivers,South-South,Prepaid,2023-09-03
CUST0262,Oyo,South-West,Prepaid,2026-01-29
CUST0263,Ondo,South-West,Prepaid,2023-10-28
CUST0264,Enugu,South-East,Prepaid,2025-09-26
CUST0265,FCT Abuja,North-Central,Postpaid,2024-07-03
CUST0266,Ekiti,South-West,Postpaid,2025-07-26
CUST0267,Osun,South-West,Prepaid,2025-08-27
CUST0268,Oyo,South-West,Postpaid,2024-03-29
CUST0269,Ekiti,South-West,Prepaid,2023-06-12
CUST0270,Abia,South-East,Prepaid,2025-10-18
CUST0271,Oyo,South-West,Prepaid,2024-05-26
CUST0272,Yobe,North-East,Prepaid,2026-04-26
CUST0273,Cross River,South-South,Prepaid,2023-09-11
CUST0274,Benue,North-Central,Prepaid,2024-10-23
CUST0275,Rivers,South-South,Prepaid,2025-12-21
CUST0276,Delta,South-South,Prepaid,2026-01-07
CUST0277,Edo,South-South,Prepaid,2026-05-23
CUST0278,Ondo,South-West,Prepaid,2025-03-11
CUST0279,Plateau,North-Central,Prepaid,2026-03-30
CUST0280,Osun,South-West,Prepaid,2025-11-30
CUST0281,Oyo,South-West,Prepaid,2026-01-28
CUST0282,Plateau,North-Central,Prepaid,2024-11-12
CUST0283,Kaduna,North-West,Prepaid,2024-12-19
CUST0284,Imo,South-East,Prepaid,2026-02-17
CUST0285,Ekiti,South-West,Prepaid,2024-10-02
CUST0286,Akwa Ibom,South-South,Prepaid,2025-11-17
CUST0287,Abia,South-East,Prepaid,2025-01-06
CUST0288,Oyo,South-West,Postpaid,2024-12-08
CUST0289,Kogi,North-Central,Postpaid,2025-03-16
CUST0290,Bayelsa,South-South,Prepaid,2023-11-13
CUST0291,Anambra,South-East,Postpaid,2024-04-04
CUST0292,Delta,South-South,Prepaid,2025-07-24
CUST0293,Edo,South-South,Prepaid,2024-04-08
CUST0294,FCT Abuja,North-Central,Prepaid,2024-08-12
CUST0295,Niger,North-Central,Prepaid,2025-09-27
CUST0296,Plateau,North-Central,Prepaid,2025-04-08
CUST0297,Taraba,North-East,Prepaid,2026-01-10
CUST0298,Osun,South-West,Prepaid,2023-10-06
CUST0299,Oyo,South-West,Prepaid,2025-10-08
CUST0300,Gombe,North-East,Prepaid,2023-07-11
